DataUsageLockScreenClient.apk,com.mediatek.DataUsageLockScreenClient,1.0,3,0.6048,Suspicious
TNFMRadio.apk,com.mediatek.FMRadio,1.0,9,0.8099,Benign
SystemUpdate.apk,com.mediatek.GoogleOta,1.33,7,1.3916,Suspicious
StkSelection.apk,com.mediatek.StkSelection,1.0,0,0,Benign
ApplicationGuide.apk,com.mediatek.appguide.plugin,1.0,0,0,Benign
MtkWeatherWidget.apk,com.mediatek.appwidget.weather,1.0,4,0.4327,Benign
MtkWorldClockWidget.apk,com.mediatek.appwidget.worldclock,1.0,0,0,Benign
MTKAndroidSuiteDaemon.apk,com.mediatek.apst.target,1.1,18,2.5703,Suspicious
BatteryWarning.apk,com.mediatek.batterywarning,4.2.2,0,0,Benign
MtkBt.apk,com.mediatek.bluetooth,4.2.2,29,3.1524,Suspicious
CalendarImporter.apk,com.mediatek.calendarimporter,1.0,13,1.1402,Benign
CDS_INFO.apk,com.mediatek.connectivity,1.0,10,1.0639,Benign
EngineerMode.apk,com.mediatek.engineermode,1.0,60,2.9704,Suspicious
TNFileManager.apk,com.mediatek.filemanager,1.0,7,0.6365,Benign
SystemUpdateAdmin.apk,com.mediatek.googleota.sysoper,1.0,0,0,Benign
LocationEM.apk,com.mediatek.lbs.em,1.0,13,1.2525,Benign
MediatekDM.apk,com.mediatek.mediatekdm,1.0,29,2.6908,Suspicious
MTKLogger.apk,com.mediatek.mtklogger,3.1.0,16,1.7705,Benign
NoteBook.apk,com.mediatek.notebook,4.2.2,4,0.1887,Benign
Omacp.apk,com.mediatek.omacp,4.2.2,6,1.5042,Benign
TNSchedulePowerOnOff.apk,com.mediatek.schpwronoff,4.2.2,52,2.6557,Suspicious
SmsReg.apk,com.mediatek.smsreg,1.0,3,1.6035,Suspicious
MTKThermalManager.apk,com.mediatek.thermalmanager,1.0,7,0.7504,Benign
Todos.apk,com.mediatek.todos,4.2.2,1,0.2986,Benign
VideoFavorites.apk,com.mediatek.videofavorites,2.0,5,0.3485,Benign
TNVideoPlayer.apk,com.mediatek.videoplayer,1.1,12,1.271,Benign
VoiceCommand.apk,com.mediatek.voicecommand,1.0,2,0.1006,Benign
VoiceUnlock.apk,com.mediatek.voiceunlock,4.2.2,20,0.998,Benign
MtkWeatherProvider.apk,com.mediatek.weather,1.0,5,0.5537,Benign
YGPS.apk,com.mediatek.ygps,1.1,6,0.4526,Benign
com.narendramodiapp-2.apk,com.narendramodiapp,2.0.3,12,0.5211,Benign
com.nqmobile.antivirus20-1.apk,com.nqmobile.antivirus20,8.2.16.00,54,4.2834,Suspicious
OperaBrandingProvide.apk,com.opera.branding,1.0,0,0,Benign
com.opera.mini.android-1.apk,com.opera.mini.android,7.6.4,7,0.2645,Benign
com.psiphon3-1.apk,com.psiphon3,89,6,0.6255,Benign
DMClient.apk,com.redbend.dmClient,07.16,10,1.7688,Suspicious
SpuulAffiliates.apk,com.spuul.android.affliates,1.0,0,0,Benign
PicoTts.apk,com.svox.pico,1.0,2,0.2115,Benign
TinnoFlow.apk,com.tinno.TinnoFlow,TinnoFlow_V1.02,3,0.0262,Benign
TNGesturePhone.apk,com.tinno.gesture.phone,1.0,4,1.418,Suspicious
TnVersion.apk,com.tnmb.swversion,1.4,0,0,Benign
me.scan.android.client-1.apk,me.scan.android.client,2.2.4,10,0.9426,Benign
